[2026-07-27T19:56:27.938Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-27T19:56:27.943Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-27T19:56:27.945Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-27T19:56:27.949Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-27T19:56:27.950Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-27T19:56:27.951Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-27T19:56:27.951Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-27T19:56:27.953Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-27T19:56:27.954Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-27T19:56:27.962Z] [INFO] Daemon started (PID: 19556, CPUs: 4, workers: 7, maxCpuLoad: 3.2, minFreeMemoryPercent: 10%)
[2026-07-27T19:56:27.970Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T19:56:27.974Z] [INFO] Worker map completed in 9ms
[2026-07-27T19:58:27.960Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T19:58:27.962Z] [INFO] Worker audit completed in 14ms
[2026-07-27T20:00:27.974Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T20:00:27.976Z] [INFO] Worker optimize completed in 17ms
[2026-07-27T20:02:27.972Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T20:02:27.975Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T20:02:27.977Z] [INFO] Worker consolidate completed in 15ms
[2026-07-27T20:04:27.969Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T20:04:27.970Z] [INFO] Worker testgaps completed in 12ms
[2026-07-27T20:06:27.980Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-27T20:06:27.984Z] [INFO] Worker backup completed in 21ms
[2026-07-27T20:08:27.977Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-27T20:08:28.012Z] [INFO] Starting worker: audit (2/2 concurrent)
[2026-07-27T20:08:28.013Z] [INFO] Worker audit completed in 34ms
[2026-07-27T20:08:28.076Z] [INFO] Worker harness completed in 117ms
[2026-07-27T20:11:28.001Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T20:11:28.004Z] [INFO] Worker map completed in 18ms
[2026-07-27T20:15:27.995Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T20:15:27.997Z] [INFO] Worker optimize completed in 15ms
[2026-07-27T20:18:28.043Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T20:18:28.046Z] [INFO] Worker audit completed in 15ms
